Код клиента,ФИО,Паспортные данные,Дата рождения,Адрес,e-mail,password
45462526,Фролов Андрей Иванович,Серия 1180 Номер 176596,2001-07-14,"344288, г. Санкт-Петербург, ул. Чехова, 1, кв. 34",gohufreilagrau-3818@yopmail.com,cl12345
45462527,Николаев Даниил Всеволодович,Серия 2280 Номер 223523,2001-02-10,"614164, г. Санкт-Петербург, ул. Степная, 30, кв. 75",xawugosune-1385@yopmail.com,cl12346
45462528,Снегирев Макар Иванович,Серия 4560 Номер 354155,1998-05-21,"394242, г. Санкт-Петербург, ул. Коммунистическая, 43, кв. 57",satrahuddusei-4458@yopmail.com,cl12347
45462529,Иванов Иван Ильич,Серия 9120 Номер 554296,1998-10-01,"660540, г. Санкт-Петербург, ул. Солнечная, 25, кв. 78",boippaxeufrepra-7093@yopmail.com,cl12348
45462530,Филиппова Анна Глебовна,Серия 2367 Номер 558134,1976-05-31,"125837, г. Санкт-Петербург, ул. Шоссейная, 40, кв. 92",zapramaxesu-7741@yopmail.com,cl12349
45462531,Иванов Михаил Владимирович,Серия 7101 Номер 669343,1985-11-04,"125703, г. Санкт-Петербург, ул. Партизанская, 49, кв. 84",rouzecroummegre-3899@yopmail.com,cl12350
45462532,Власов Дмитрий Александрович,Серия 3455 Номер 719630,1998-08-17,"625283, г. Санкт-Петербург, ул. Победы, 46, кв. 7",ziyeuddocrabri-4748@yopmail.com,cl12351
45462533,Серова Екатерина Львовна,Серия 2377 Номер 871623,1984-10-24,"614611, г. Санкт-Петербург, ул. Молодежная, 50, кв. 78",ketameissoinnei-1951@yopmail.com,cl12352
45462534,Борисова Ирина Ивановна,Серия 8755 Номер 921148,1976-10-14,"454311, г. Санкт-Петербург, ул. Новая, 19, кв. 78",yipraubaponou-5849@yopmail.com,cl12353
45462535,Зайцев Никита Артёмович,Серия 4355 Номер 104594,1999-10-14,"660007, г. Санкт-Петербург, ул. Октябрьская, 19, кв. 42",crapedocouca-3572@yopmail.com,cl12354
45462536,Медведев Святослав Евгеньевич,Серия 2791 Номер 114390,1985-07-13,"603036, г. Санкт-Петербург, ул. Садовая, 4, кв. 13",ceigoixakaunni-9227@yopmail.com,cl12355
45462537,Коротков Кирилл Алексеевич,Серия 5582 Номер 126286,1976-05-26,"450983, г. Санкт-Петербург, ул. Комсомольская, 26, кв. 60",yeimmeiwauzomo-7054@yopmail.com,cl12356
45462538,Калашникова Арина Максимовна,Серия 2978 Номер 133653,1999-08-13,"394782, г. Санкт-Петербург, ул. Чехова, 3, кв. 14",poleifenevi-1560@yopmail.com,cl12357
45462539,Минина Таисия Кирилловна,Серия 7512 Номер 141956,1985-10-13,"603002, г. Санкт-Петербург, ул. Дзержинского, 28, кв. 56",kauprezofautei-6607@yopmail.com,cl12358
45462540,Наумов Серафим Романович,Серия 5046 Номер 158433,1999-04-15,"450558, г. Санкт-Петербург, ул. Набережная, 30, кв. 71",quaffaullelourei-1667@yopmail.com,cl12359
45462541,Воробьева Василиса Евгеньевна,Серия 2460 Номер 169505,1999-01-13,"394060, г. Санкт-Петербург, ул. Фрунзе, 43, кв. 79",jsteele@rojas-robinson.net,cl12360
45462542,Калинин Александр Андреевич,Серия 3412 Номер 174593,1999-01-07,"410661, г. Санкт-Петербург, ул. Школьная, 50, кв. 53",vhopkins@lewis-mullen.com,cl12361
45462543,Кузнецова Милана Владиславовна,Серия 4950 Номер 183034,1999-01-24,"625590, г. Санкт-Петербург, ул. Коммунистическая, 20, кв. 34",nlewis@yahoo.com,cl12362
45462544,Фирсов Егор Романович,Серия 5829 Номер 219464,1993-09-02,"625683, г. Санкт-Петербург, ул. 8 Марта, 20, кв. 21",garciadavid@mckinney-mcbride.com,cl12363
45462545,Зимина Агния Александровна,Серия 6443 Номер 208059,1998-09-03,"400562, г. Санкт-Петербург, ул. Зеленая, 32, кв. 67",cbradley@castro.com,cl12364
45462546,Титов Андрей Глебович,Серия 7079 Номер 213265,1985-10-23,"614510, г. Санкт-Петербург, ул. Маяковского, 47, кв. 72",cuevascatherine@carlson.biz,cl12365
45462547,Орлов Николай Егорович,Серия 8207 Номер 522702,1985-07-27,"410542, г. Санкт-Петербург, ул. Светлая, 46, кв. 82",thomasmoore@wilson-singh.net,cl12366
45462548,Кузнецова Аиша Михайловна,Серия 9307 Номер 232158,1998-10-04,"620839, г. Санкт-Петербург, ул. Цветочная, 8, кв. 100",jessica84@hotmail.com,cl12367
45462549,Куликов Никита Георгиевич,Серия 1357 Номер 242839,1999-04-23,"443890, г. Санкт-Петербург, ул. Коммунистическая, 1, кв. 10",jessicapark@hotmail.com,cl12368
45462550,Карпова София Егоровна,Серия 1167 Номер 256636,1993-10-01,"603379, г. Санкт-Петербург, ул. Спортивная, 46, кв. 95",ginaritter@schneider-buchanan.com,cl12369
45462551,Смирнова Дарья Макаровна,Серия 1768 Номер 266986,1976-03-22,"603721, г. Санкт-Петербург, ул. Гоголя, 41, кв. 57",stephen99@yahoo.com,cl12370
45462552,Абрамова Александра Мироновна,Серия 1710 Номер 427875,1999-03-26,"410172, г. Санкт-Петербург, ул. Северная, 13, кв. 86",lopezlisa@hotmail.com,cl12371
45462553,Наумов Руслан Михайлович,Серия 1806 Номер 289145,1999-10-11,"420151, г. Санкт-Петербург, ул. Вишневая, 32, кв. 81",lori17@hotmail.com,cl12372
45462554,Бочаров Никита Матвеевич,Серия 1587 Номер 291249,1997-06-29,"125061, г. Санкт-Петербург, ул. Подгорная, 8, кв. 74",campbellkevin@gardner.com,cl12373
