ID,Должность,ФИО ,Логин ,Пароль,Последний вход,Тип входа
101,Продавец,Иванов Иван Иванович,Ivanov@namecomp.ru,2L6KZG,2022-05-15 13:13:00,Успешно
102,Продавец,Петров Петр Петрович,petrov@namecomp.ru,uzWC67,2022-05-15 13:13:00,Успешно
103,Администратор,Федоров Федор Федорович,fedorov@namecomp.ru,8ntwUp,2022-05-15 13:13:00,Успешно
104,Старший смены,Миронов Вениамин Куприянович,mironov@namecomp.ru,YOyhfR,2022-05-15 13:13:00,Успешно
105,Старший смены,Ширяев Ермолай Вениаминович,shiryev@namecomp.ru,RSbvHv,2022-05-15 13:13:00,Неуспешно
106,Старший смены,Игнатов Кассиан Васильевич,ignatov@namecomp.ru,rwVDh9,2022-05-15 13:13:00,Успешно
107,Продавец,Хохлов Владимир Мэлсович,hohlov@namecomp.ru,LdNyos,2022-05-15 13:13:00,Успешно
108,Продавец,Стрелков Мстислав Георгьевич,strelkov@namecomp.ru,gynQMT,2022-05-15 13:13:00,Неуспешно
109,Продавец,Беляева Лилия Наумовна,belyeva@@namecomp.ru,AtnDjr,2022-05-15 13:13:00,Успешно
110,Продавец,Смирнова Ульяна Гордеевна,smirnova@@namecomp.ru,JlFRCZ,2022-05-15 13:13:00,Успешно
